time,seconds_elapsed,accel_z,accel_y,accel_x,gyro_x,gyro_y,gyro_z,activity,member
1772896504173107500,0.068107421875,0.0631043986886739,-0.1318020873397588,-0.1976219189995899,0.0049108862876892,-0.0246654506772756,-0.0482137575745582,standing,david
1772896504183140400,0.078140380859375,0.0614461100876331,-0.1323807640105485,-0.1829303448948077,0.0050710318610072,-0.0096128545701503,-0.0494950972497463,standing,david
1772896504193174500,0.088174560546875,0.0111696287900209,-0.1498626446872949,-0.1672166246680542,0.0069301845505833,0.0168552380055189,-0.0624292716383934,standing,david
1772896504203208700,0.098208740234375,0.043434068056941,-0.1238917526066303,-0.2369137361526489,0.0099410014227032,0.045738186687231,-0.0742671117186546,standing,david
1772896504213241600,0.10824169921875,0.0459961736299097,-0.0488227753579616,-0.2680177533380687,0.0088043641299009,0.0611927770078182,-0.072599709033966,standing,david
1772896504223275800,0.11827587890625,0.0551486173786222,-0.014586159235239,-0.1140123462902382,0.0122837843373417,0.0580081716179847,-0.0664107874035835,standing,david
1772896504233309700,0.128309814453125,-0.0094584409579634,-0.025287585991621,0.030719506813283,0.0063113793730735,0.0583458580076694,-0.0520187988877296,standing,david
1772896504243342600,0.138342529296875,-0.0026002456262707,-0.0361076706916093,0.0972738313267007,0.0010590363526716,0.0745585709810257,-0.038334235548973,standing,david
1772896504253376800,0.148376708984375,0.0369864993527531,0.0116372463017702,0.1017549770624376,0.013844340108335,0.0502569563686847,-0.0251806154847145,standing,david
1772896504263410700,0.15841064453125,-0.0370671633735299,-0.0514145454168319,0.1005025475822389,0.0241807661950588,0.0133086470887064,-0.0022423749323934,standing,david
1772896504273444600,0.168444580078125,-0.1279012805089354,-0.0857815099209547,0.2577116095095872,0.0094023523852229,-0.0218645203858613,0.0250507667660713,standing,david
1772896504283477800,0.178477783203125,0.0138087451219558,-0.018226561564207,0.4143896698327735,-0.0141738653182983,-0.0318611785769462,0.0317430309951305,standing,david
1772896504293511700,0.18851171875,0.2105810250222682,0.0795569363176822,0.2634103326078504,-0.0200844854116439,-0.0282595194876194,0.030446071177721,standing,david
1772896504303545600,0.198545654296875,0.103434947772324,0.121380062046647,0.0317535488690249,-0.0021238035988062,-0.0352030955255031,0.0079408502206206,standing,david
1772896504313578500,0.20857861328125,-0.1097718957088887,0.0275420869201421,-0.0520698264212114,0.0164197869598865,-0.0660454258322715,0.0050965948030352,standing,david
1772896504323612700,0.21861279296875,-0.0931353798151016,-0.1255354281604289,-0.0078841180130606,0.0140698133036494,-0.0790107622742652,0.0214084573090076,standing,david
1772896504333646800,0.228646728515625,-0.0574754528909921,-0.0727531015217304,0.2176799337746575,-0.0027288740966469,-0.0716433897614479,0.0234154146164655,standing,david
1772896504343679700,0.2386796875,0.0535191164806485,0.0297656081885099,0.0526133358804974,-0.0234389398247003,-0.0571790970861911,0.0084024723619222,standing,david
1772896504353713700,0.248713623046875,0.1671019487798213,0.1169680908232927,-0.1755599805235862,-0.0244227107614278,-0.049083087593317,-0.0057445056736469,standing,david
1772896504363747600,0.25874755859375,0.0590177138969302,0.107881113526225,-0.1743365396758541,-0.0199427250772714,-0.0370481014251709,-0.009956119582057,standing,david
1772896504373781800,0.26878173828125,-0.0364729968726635,-0.013677812218666,-0.093152166553121,-0.0169261619448661,-0.0261733513325452,-0.0033325715921819,standing,david
1772896504383814700,0.278814697265625,-0.0204575354866683,-0.0433960741341114,-0.0322715083285234,-0.006604079157114,-0.0090153561905026,-0.00978958979249,standing,david
1772896504393848600,0.2888486328125,-0.0286865807801485,0.0077922613114118,0.0178385942930821,0.0047452477738261,-0.0209039729088544,-0.0234457477927207,standing,david
1772896504403882800,0.2988828125,-0.0025920623198151,-0.0355763402938842,0.0286509523443412,0.0117373038083314,-0.0287703983485698,-0.0104308752343058,standing,david
1772896504413915600,0.30891552734375,0.0314317878350615,-0.1508972484320402,0.1951265950525179,0.0057963239960372,-0.0225439276546239,-0.005100293084979,standing,david
1772896504423949800,0.31894970703125,0.03959858154729,-0.0914420199006795,0.1914996732596308,-0.0009829620830714,0.0041612712666392,-0.0140886399894952,standing,david
1772896504433983500,0.3289833984375,0.1122094981193542,-0.0095551793307065,-0.0753559774965047,0.0009813853539526,0.0287361219525337,-0.017259931191802,standing,david
1772896504444016600,0.3390166015625,-0.0063341714575886,0.016533201649785,-0.1588107797692529,0.0021810261532664,0.032568771392107,-0.0119284596294164,standing,david
1772896504454050800,0.34905078125,-0.057143736718595,-0.0183405433326959,-0.0585133948037168,-0.0026512795593589,0.0281428657472133,0.0082042394205927,standing,david
1772896504464084700,0.359084716796875,0.0322656083106994,-0.022256839993596,0.1084391036020126,-0.0153493508696556,0.0189077816903591,0.0323463194072246,standing,david
1772896504474118700,0.36911865234375,0.1100862223550677,0.0351484702706337,0.2066963656086474,-0.0324897207319736,0.0162049401551485,0.0444943271577358,standing,david
1772896504484151600,0.379151611328125,0.1505997267901897,0.0736690473228693,0.1893068941893987,-0.0313167460262775,0.0120043754577636,0.0496685914695262,standing,david
1772896504494185700,0.389185791015625,0.0985129812002181,0.0467319405585527,0.0838722970324568,-0.011818679049611,0.0014135169330984,0.0384971611201763,standing,david
1772896504504219600,0.3992197265625,0.0021416882038116,-0.0941015944987535,0.0173142416254151,0.0090224547311663,-0.0149299809709191,0.0232051089406013,standing,david
1772896504514252500,0.40925244140625,-0.0308111717186868,-0.1662397789925336,0.0137214504309929,0.0039326213300228,-0.0173846166580915,0.0135410306975245,standing,david
1772896504524286700,0.41928662109375,0.0516473312593996,-0.0648585488796234,-0.0050932680184021,-0.0095971152186393,-0.0108919441699981,0.0049517098814249,standing,david
1772896504534320600,0.429320556640625,0.0943530850417912,0.0923386764794588,-0.0499038029271643,-0.0134712159633636,-0.0123654715716838,-0.008624019101262,standing,david
1772896504544353800,0.439353759765625,0.0680728347510099,0.0689297438412904,-0.0765523385410662,-0.0089150788262486,-0.0150832273066043,-0.0089931339025497,standing,david
1772896504554387500,0.449387451171875,0.0533645104408264,-0.0657253948420286,-0.0696861242996994,-0.0090450411662459,-0.0019320055143907,-0.0161040406674146,standing,david
1772896504564421600,0.459421630859375,-0.0004296235889196,-0.0485410358071327,-0.0732828427505679,-0.012420292943716,0.012547792866826,-0.0240091886371374,standing,david
1772896504574455800,0.469455810546875,-0.0023369185149669,0.0293465059936046,-0.1410978942150715,-0.0132855530828237,0.0117738777771592,-0.0243676491081714,standing,david
1772896504584488700,0.47948876953125,-0.0283189165115356,0.0580909544408321,-0.08530387333869,-0.005281813442707,0.0265819206833839,-0.0321310199797153,standing,david
1772896504594522600,0.489522705078125,-0.0622533348172903,-0.0082359134256839,0.0229583301933016,-0.0011102380231022,0.0269726049154996,-0.0256552752107381,standing,david
1772896504604556500,0.499556640625,-0.0027735563665628,-0.0970288801223039,0.0896478664929047,0.0067214667797088,0.01488874014467,-0.0087977387011051,standing,david
1772896504614589700,0.509589599609375,-0.0079781392723321,-0.0973906991720199,0.3033161900060251,-0.0008016971405595,-0.0065033668652176,-0.0010676477104425,standing,david
1772896504624623900,0.519623779296875,0.037850130444765,-0.0262643220692872,0.2298669046473689,-0.0091817919164896,-0.0132489074021577,0.0038389565888792,standing,david
1772896504634657500,0.529657470703125,0.0769292181625962,0.015263035583496,0.0711227877730037,-0.0124936997890472,-0.0204176045954227,0.0069548552855849,standing,david
1772896504644691700,0.539691650390625,-0.0225619604200124,0.0076776950210332,0.0631179979557637,-0.0121055236086249,-0.0270146932452917,0.004697916097939,standing,david
1772896504654724600,0.549724609375,-0.0150219203040003,0.0128992290616035,0.0389224997834768,-0.0188920572400093,-0.0218430999666452,-0.0043858597055077,standing,david
