time,seconds_elapsed,accel_z,accel_y,accel_x,gyro_x,gyro_y,gyro_z,activity,member
1772739054502194176,0.079194091796875,-0.0258820447534322,0.1248141281485557,-0.1253623731484636,0.0530686229467392,-0.2516830563545227,-0.2819528579711914,walking,queen
1772739054512145920,0.0891458344908966,-0.0039322929086483,0.1145194505231775,-0.0702052088693546,0.0468721195959068,-0.2409105650309858,-0.282915725276388,walking,queen
1772739054522097664,0.0990975771849183,0.00312308533965,0.1026206382342453,-0.0463527852068639,0.0361702899801833,-0.2304963939662637,-0.2779740087431052,walking,queen
1772739054532049408,0.1090493198789399,0.0267064070602171,0.0772980766698975,-0.0209314929823406,0.0220277112715973,-0.2197311434509424,-0.2704821006748183,walking,queen
1772739054542001152,0.1190010625729615,0.0590434731719308,0.0611699134167925,0.0095264533551666,0.0084162893793384,-0.2098323954590435,-0.2626681898174615,walking,queen
1772739054551952896,0.1289528052669832,0.0828876780976251,0.049137167510904,0.0362079561926087,-0.0090633837259294,-0.2069586728025098,-0.2556112257057222,walking,queen
1772739054561904640,0.1389045479610048,0.1029901971600178,0.0388243722264365,0.0563288637593629,-0.0264334089829232,-0.2172011775446348,-0.2499588018861309,walking,queen
1772739054571856384,0.1488562906550264,0.0963161715744127,0.0345546766544209,0.0658849830176447,-0.0359632281650756,-0.240711671396576,-0.2476263224179374,walking,queen
1772739054581808128,0.1588080333490481,0.0390115552836451,0.0382542164738835,0.055195448415797,-0.0339142451512402,-0.2695745219444406,-0.252659318262133,walking,queen
1772739054591759872,0.1687597760430698,-0.0312654636430457,0.0498165885449739,0.026397555110304,-0.0197007202820306,-0.29507861491935,-0.2677180242949518,walking,queen
1772739054601711616,0.1787115187370914,-0.0893591819653994,0.0689417063841017,0.0108731691135863,0.0028241457907354,-0.3207941350751909,-0.2870224372580133,walking,queen
1772739054611663360,0.188663261431113,-0.1032056287492399,0.0989116780382934,0.0245911231210776,0.0273652485138254,-0.3469077135468352,-0.3017687756439735,walking,queen
1772739054621615104,0.1986150041251347,-0.101994615290391,0.1259330139030155,0.0590927796089186,0.0429865111885913,-0.3679249677164801,-0.3079430090970005,walking,queen
1772739054631566848,0.2085667468191563,-0.0718986867274447,0.1302550720544852,0.1189099114354722,0.0548599451812433,-0.3788474695435885,-0.302768724488801,walking,queen
1772739054641518592,0.2185184895131779,-0.0410130993254225,0.137580287778583,0.1405024531667441,0.0543801800572666,-0.3769054996042416,-0.2923111561043509,walking,queen
1772739054651470336,0.2284702322071996,-0.0217916285956598,0.1279497681113794,0.1291152170496374,0.0432089326967452,-0.3587880924600979,-0.2849495601037453,walking,queen
1772739054661422080,0.2384219749012212,-0.0187260052850533,0.1000280619382857,0.1061462903499988,0.0320553586914621,-0.3333780035890382,-0.2769708612869526,walking,queen
1772739054671373824,0.2483737175952429,-0.0126459043291878,0.0824029330867117,0.0910955832877405,0.0220271359791914,-0.3064216115865214,-0.2700463855831787,walking,queen
1772739054681325568,0.2583254602892645,-0.0050008971831407,0.0770598386490138,0.096322131745082,0.0117860085306817,-0.2864181376222906,-0.2670038003346016,walking,queen
1772739054691277312,0.2682772029832861,-0.0152052233452169,0.0649351313251359,0.1167656958673478,0.0034120126671543,-0.2785540545551941,-0.2645870670676231,walking,queen
1772739054701229056,0.2782289456773078,-0.0268626810030176,0.0552887262677837,0.1263722613173151,-0.0027451102204363,-0.2775716740509559,-0.260560084005882,walking,queen
1772739054711180800,0.2881806883713295,-0.0052240736874012,0.0579541234093364,0.1093246947342103,-0.0053689932884198,-0.2920080970587401,-0.2619856719312997,walking,queen
1772739054721132544,0.2981324310653511,-0.0364835938514051,0.0641140342785623,0.122180512810073,0.0061461567348833,-0.3200058148338878,-0.26003498738182,walking,queen
1772739054731084288,0.3080841737593728,-0.1087036945529409,0.0572865339045509,0.1660973935858722,0.0252046415959644,-0.3523004395437651,-0.2599636207109895,walking,queen
1772739054741036032,0.3180359164533944,-0.1496580821818318,0.0532908606827258,0.1789504329782043,0.0518310246667984,-0.3779682691754965,-0.2542636106754171,walking,queen
1772739054750987776,0.327987659147416,-0.146585890558439,0.0604810946816513,0.1934385851195619,0.0798866662582189,-0.3944719794752269,-0.2500453089717133,walking,queen
1772739054760939520,0.3379394018414376,-0.1284619579367082,0.0572542919794546,0.2012034521638447,0.0992370933165836,-0.4000428876486318,-0.2411424091150021,walking,queen
1772739054770891264,0.3478911445354593,-0.0839768263009472,0.05121026509435,0.2033057090752661,0.1125573726242472,-0.3955205220343737,-0.2307385884482285,walking,queen
1772739054780843008,0.357842887229481,-0.0208667058484307,0.0539692386475615,0.187459839660989,0.1246067733857138,-0.3765578084978563,-0.2185591572317583,walking,queen
1772739054790794752,0.3677946299235026,0.042547567545995,0.0583181142602115,0.1456947752849664,0.1357249822467565,-0.3519782647490501,-0.2052116710692643,walking,queen
1772739054800746496,0.3777463726175243,0.0882278549648564,0.0527396716576968,0.0949492583171622,0.1430127621981604,-0.3383453593685708,-0.196998849768063,walking,queen
1772739054810698240,0.3876981153115458,0.1021992785754902,0.0479417799346405,0.0691087963438841,0.1450718268109806,-0.3348813500126888,-0.1978203776966908,walking,queen
1772739054820649984,0.3976498580055675,0.1145692734558006,0.0620337561460404,0.0894266879449309,0.1456469081599136,-0.3280346218881936,-0.1999066502883516,walking,queen
1772739054830601728,0.4076016006995892,0.1600559254012488,0.0524690984905536,0.1137946175551844,0.1500854502464162,-0.3121452400910443,-0.1964268385721691,walking,queen
1772739054840553472,0.4175533433936108,0.1728688518214327,0.0419910145248318,0.1229679913447077,0.1521250245899989,-0.298342931373366,-0.1880110059061955,walking,queen
